,kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
4943,8760135,0,184.6467208,151.98458,0.492,18.9869,410270.0,72.8,320.0,2.49,1113.2,5713.0,4.414,1.023,294.37127999999996,44.924759,15.603
4944,4073707,0,6.282033445,131.590793,1.777,8.3777,181790.0,144.85,1029.0,264.78,1178.0,6074.0,4.45,0.976,295.61261,39.195709,14.118
4945,5730394,0,5.519188936,134.470023,0.459,7.1351,217070.0,43.06,932.0,178.7,2270.6,5324.0,4.439,0.897,298.06189,40.957291,16.117
4946,6451368,0,5.3360574,132.605,0.006,3.877,54.7,1.52,1667.0,1823.9,7.0,6742.0,3.925,2.032,294.48404,41.869171,12.690999999999999
4947,6956216,0,4.818863793999999,131.67765500000002,0.486,6.2625,65936.0,51.32,1595.0,1529.01,2048.7,6313.0,3.9360000000000004,1.935,294.08777000000003,42.489666,14.55
4950,9110346,0,0.895276162,131.6225645,0.618,3.0518,319080.0,172.25,2731.0,13121.22,932.1,5242.0,3.6310000000000002,2.55,298.34192,45.407669,16.397000000000002
4952,2995392,1,30.4544418,140.76863,0.929,6.896,472.1,2.6,624.0,35.92,17.3,6283.0,4.4719999999999995,0.984,292.68427,38.126282,15.267999999999999
4953,3120308,0,10.26558924,136.49645,0.663,3.879,254.6,1.65,828.0,111.18,18.8,5774.0,4.458,0.98,292.28778,38.27425,14.658
4954,9991621,0,18.9257333,145.5267,1.155,6.149,188.5,16.74,639.0,39.47,16.2,5455.0,4.421,0.909,281.18023999999997,46.929901,13.857000000000001
4955,8078502,0,37.8862977,133.03141000000002,0.026,5.218,672.2,2.09,479.0,12.46,14.4,5513.0,4.551,0.818,283.1319,43.955971000000005,15.847999999999999
4956,8644365,0,10.54841329,139.06402,1.017,1.872,102.9,3.89,899.0,154.84,11.7,6047.0,4.387,1.092,298.09542999999996,44.737061,13.204
4958,2852528,0,11.9615433,131.895,0.576,3.129,424.5,2.24,847.0,121.71,12.4,6142.0,4.456,1.046,291.46148999999997,38.001808000000004,15.709000000000001
4959,3348216,0,32.510844,136.62491,0.421,3.254,361.9,2.62,680.0,50.56,12.6,6074.0,4.244,1.358,292.96008,38.431430999999996,14.863
4961,10798838,0,62.127677128,172.0663,1.158,5.25005,37430.0,38.61,402.0,6.15,990.3,5344.0,4.494,0.807,292.52029,48.123531,14.822000000000001
4962,8560940,0,31.9730649,133.8409,0.716,8.872,158.6,1.09,530.0,18.59,15.6,5811.0,4.571000000000001,0.811,292.17368,44.662861,14.545
4964,10292238,0,143.1188694,266.35922400000004,0.703,16.8109,255710.0,53.3,321.0,2.5,1638.0,5713.0,4.553999999999999,0.851,298.07739,47.346581,14.995999999999999
